State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.6563576040877943	0.07074211432945651	0.028504236828174205	0.0016898182448209524	1.1017946488891163E-5	0.01365789934741714	0.022902494022692944	0.19340950021177664	0.004564269660748406	0.008161045320629957
2	0.18707993368834344	0.7790079413201664	0.0037293429824085487	0.01181316916141755	0.0	0.009777787040835725	0.0	0.007382823198524182	0.0	0.0012090026083041753
3	0.13795763805250957	0.007080985873565495	0.788500662919401	0.049855709455185165	0.0	0.0012695638984257579	0.0	0.0	0.0027443014093406315	0.01259113839157231
4	0.007293249044136316	0.023168795715536896	0.054501815941470085	0.776768142507641	0.0897060444798706	0.048341256307331805	2.206960040132122E-4	0.0	0.0	0.0
5	2.815745498883135E-4	1.7410717774837316E-5	0.0	0.02060942716084296	0.9286759624820284	0.05041562508946541	0.0	0.0	0.0	0.0
6	0.010700408971537166	0.0028889224577531417	1.8121677019270792E-4	0.007213071231222867	0.03111756582309777	0.9312653101730981	0.014520046322312453	0.001983784767771497	0.0	1.2967348301437819E-4
7	0.01021285610334531	0.0	0.0	0.0	0.0	0.00814466059459002	0.9753383961684889	0.004726635552281272	0.0	0.0015774515812944205
8	0.015901667779774135	2.2021660229251403E-4	0.0	0.0	0.0	1.9646757755316664E-4	8.976593259091799E-4	0.9747441296795457	2.691849283964075E-4	0.007770674106528817
9	3.1894992469876717E-4	0.0	3.491978848883759E-5	0.0	0.0	0.0	0.0	2.8247867907693776E-4	0.9982886479563343	0.0010750036514012673
10	0.03579903482300926	0.0022616263448294034	0.011449516756820684	0.0	0.0	5.78593535348531E-4	0.014176302440660558	0.39423349271053726	0.0594622095823204	0.48203922380647385
